,Name,2019,2014,2009
167,Haveri,Bharatiya Janata Party,BJP,BJP
168,Dharwad,Bharatiya Janata Party,BJP,BJP
169,Uttara Kannada,Bharatiya Janata Party,BJP,BJP
170,Davanagere,Bharatiya Janata Party,BJP,BJP
171,Shimoga,Bharatiya Janata Party,BJP,BJP
172,Udupi Chikmagalur,Bharatiya Janata Party,BJP,BJP
173,Hassan,Janata Dal (Secular),JD(S),JD(S)
174,Dakshina Kannada,Bharatiya Janata Party,BJP,BJP
175,Chitradurga,Bharatiya Janata Party,INC,BJP
176,Tumkur,Bharatiya Janata Party,INC,BJP
177,Mandya,Independent,JD(S),JD(S)
178,Mysore,Bharatiya Janata Party,BJP,INC
179,Chamarajanagar,Bharatiya Janata Party,INC,INC
180,Bangalore Rural,Indian National Congress,INC,JD(S)
181,Bangalore North,Bharatiya Janata Party,BJP,BJP
182,Bangalore South,Bharatiya Janata Party,BJP,BJP
183,Kolar,Bharatiya Janata Party,INC,INC
184,Kasaragod,Indian National Congress,CPM,CPM
185,Kannur,Indian National Congress,CPM,INC
186,Wayanad,Indian National Congress,INC,INC
187,Kozhikode,Indian National Congress,INC,INC
188,Malappuram,Indian Union Muslim League,IUML,MUL
189,Ponnani,Indian Union Muslim League,IUML,MUL
190,Palakkad,Indian National Congress,CPM,CPM
191,Alathur,Indian National Congress,CPM,CPM
192,Thrissur,Indian National Congress,CPI,INC
193,Chalakudy,Indian National Congress,IND,INC
194,Ernakulam,Indian National Congress,INC,INC
195,Idukki,Indian National Congress,IND,INC
196,Kottayam,Kerala Congress (M),KC(M),KEC(M)
197,Alappuzha,Communist Party of India (Marxist),INC,INC
198,Mavelikkara,Indian National Congress,INC,INC
199,Pathanamthitta,Indian National Congress,INC,INC
200,Kollam,Revolutionary Socialist Party,RSP,INC
201,Attingal,Indian National Congress,CPM,CPM
202,Thiruvananthapuram,Indian National Congress,INC,INC
203,Lakshadweep,Nationalist Congress Party,NCP,INC
204,Nandurbar,Bharatiya Janata Party,BJP,INC
205,Dhule,Bharatiya Janata Party,BJP,BJP
206,Jalgaon,Bharatiya Janata Party,BJP,BJP
207,Raver,Bharatiya Janata Party,BJP,BJP
208,Buldhana,Shiv Sena,SHS,SHS
209,Akola,Bharatiya Janata Party,BJP,BJP
210,Amravati,Independent,SHS,SHS
211,Wardha,Bharatiya Janata Party,BJP,INC
212,Ramtek,Shiv Sena,SHS,INC
213,Nagpur,Bharatiya Janata Party,BJP,INC
214,Gadchiroli-Chimur,Bharatiya Janata Party,BJP,INC
215,Chandrapur,Indian National Congress,BJP,BJP
216,Yavatmal-Washim,Shiv Sena,SHS,SHS
217,Hingoli,Shiv Sena,INC,SHS
218,Nanded,Bharatiya Janata Party,INC,INC
219,Parbhani,Shiv Sena,SHS,SHS
220,Jalna,Bharatiya Janata Party,BJP,BJP
221,Dindori,Bharatiya Janata Party,BJP,BJP
222,Nashik,Shiv Sena,SHS,NCP
223,Palghar,Shiv Sena,BJP,BVA
224,Bhiwandi,Bharatiya Janata Party,BJP,INC
225,Kalyan,Shiv Sena,SHS,SHS
226,Thane,Shiv Sena,SHS,NCP
227,Raigad,Nationalist Congress Party,SHS,SHS
228,Maval,Shiv Sena,SHS,SHS
229,Pune,Bharatiya Janata Party,BJP,INC
230,Baramati,Nationalist Congress Party,NCP,NCP
231,Shirur,Nationalist Congress Party,SHS,SHS
232,Shirdi,Shiv Sena,SHS,SHS
233,Beed,Bharatiya Janata Party,BJP,BJP
234,Osmanabad,Shiv Sena,SHS,NCP
235,Latur,Bharatiya Janata Party,BJP,INC
236,Solapur,Bharatiya Janata Party,BJP,INC
237,Madha,Bharatiya Janata Party,NCP,NCP
